device,arquivo,total_packets,total_bytes,avg_packet_size,max_packet_size,min_packet_size,tcp_packets,udp_packets,dns_packets,icmp_packets,arp_packets,unique_source_ips,unique_destination_ips,unique_ports,capture_duration,packets_per_second,bytes_per_second,tcp_ratio,udp_ratio,dns_ratio,icmp_ratio
google-home-mini,2021-09-02_15.50.20_192.168.12.128.pcap,33474,3115439,93.07041285774034,1484,62,2568,29590,834,1316,0,29,31,328,10218.833552837372,3.2757163356189096,304.87227176089624,0.07671625739379817,0.8839696480850809,0.024914859293780248,0.03931409452112087
google-home-mini,2021-09-06_15.50.20_192.168.12.128.pcap,209059,22187779,106.13166139702189,1484,54,54002,143960,7024,11088,0,43,46,2592,86400.51696109772,2.4196498742493624,256.80146115317996,0.2583098551126715,0.6886094356138698,0.033598170851290785,0.053037659225386134
google-home-mini,2021-09-07_15.50.20_192.168.12.128.pcap,52013,11839414,227.62413242843135,1484,54,24396,17841,6214,9769,0,45,49,2334,76169.69465994835,0.6828568793954947,155.43470474518546,0.4690365870070944,0.34301040124584237,0.11947013246688327,0.18781843000788265
google-home-mini,2021-09-04_15.50.20_192.168.12.128.pcap,489973,41024647,83.72838299253225,1514,54,147059,331820,7030,11086,0,41,45,2586,86400.03235411644,5.670981672689799,474.8221254346026,0.300136946321532,0.6772209897280054,0.014347729364679278,0.0226257365201756
google-home-mini,2021-09-05_15.50.20_192.168.12.128.pcap,352071,31586693,89.71682700364416,1514,54,66000,275011,6988,11052,0,43,47,2584,86399.1383600235,4.074936471390804,365.5903704546089,0.1874621880245746,0.7811236938003983,0.01984826924114738,0.03139139548556967
google-home-mini,2021-09-03_15.50.20_192.168.12.128.pcap,473431,40391799,85.31718244052459,1514,54,136885,325495,7026,11044,0,47,51,2576,86398.99277496338,5.479589342356204,467.50312362095843,0.2891340026318513,0.6875236306874708,0.014840599791733114,0.023327580999131868
fridge,2021-09-07_02.59.37_192.168.10.207.pcap,13845,127780168,9229.336800288913,53634,66,13813,32,30,0,0,10,12,26,48.17696213722229,287.37802023642195,2652308.537762181,0.9976886962802456,0.002311303719754424,0.0021668472372697724,0.0
fridge,2021-09-05_15.50.36_192.168.10.207.pcap,160017,71437466,446.4367285975865,11650,46,109413,48349,44100,0,0,2395,2397,16610,86397.34774804115,1.8521054658605303,826.8479051964841,0.6837586006486811,0.3021491466531681,0.2755957179549673,0.0
fridge,2021-09-07_03.04.37_192.168.10.207.pcap,111486,21186725,190.03933229284394,13098,46,61444,48025,43778,0,0,2388,2390,16504,86386.26771998405,1.2905523405800472,245.2557050927991,0.551136465565183,0.4307715767002135,0.39267710743949913,0.0
fridge,2021-09-04_15.50.34_192.168.10.207.pcap,109243,18894915,172.96224929743784,17442,46,59031,47975,43726,0,0,2410,2412,16537,86398.47210097313,1.2644089339025426,218.69501323955916,0.5403641423249087,0.43915857308935125,0.4002636324524226,0.0
fridge,2021-09-03_15.50.27_192.168.10.207.pcap,111929,19333347,172.7286672801508,11650,46,61446,48133,43882,0,0,2389,2392,16614,86393.56738090515,1.295570994383301,223.78225122664733,0.5489730096757766,0.43003153784988696,0.39205210445907673,0.0
