device,activity,command_origin,network_scope,action,arquivo,total_packets,total_bytes,payload_bytes,avg_packet_size,max_packet_size,min_packet_size,tcp_packets,udp_packets,dns_packets,http_packets,tls_packets,icmp_packets,arp_packets,syn_packets,fin_packets,rst_packets,ack_packets,unique_source_ips,unique_destination_ips,public_destination_ips,unique_destination_ports,unique_flows,capture_duration,mean_interarrival,std_interarrival,packets_per_second,bytes_per_second,tcp_ratio,udp_ratio,dns_ratio,public_destination_ratio
amazon-plug,android_lan_off,android,lan,off,2021-08-01_20:56:50.38s.pcap,46,11026,9318,239.69565217391303,4131,42,42,2,2,0,42,0,2,2,2,2,41,4,4,22,5,6,11.715932846069336,0.26035406324598526,1.0657596872618553,3.9262771991248546,941.1115738597967,0.9130434782608695,0.043478260869565216,0.043478260869565216,0.4782608695652174
amazon-plug,android_lan_off,android,lan,off,2021-08-01_21:23:08.38s.pcap,81,19446,16469,240.07407407407408,4131,42,76,2,2,0,76,0,2,4,4,4,74,4,4,38,6,8,6.362036943435669,0.07952546179294587,0.39806532040687276,12.73177139965771,3056.5682300956028,0.9382716049382716,0.024691358024691357,0.024691358024691357,0.4691358024691358
amazon-plug,android_lan_off,android,lan,off,2021-08-01_21:49:23.38s.pcap,81,19263,16509,237.8148148148148,4131,54,79,2,2,0,79,0,0,6,4,4,76,4,4,40,6,8,12.77784514427185,0.15972306430339814,1.1872807556029006,6.339097014046323,1507.5311824885719,0.9753086419753086,0.024691358024691357,0.024691358024691357,0.49382716049382713
amazon-plug,android_lan_off,android,lan,off,2021-08-01_22:15:41.37s.pcap,84,19597,16597,233.29761904761904,4131,42,80,2,2,0,80,0,2,4,4,4,78,4,4,40,6,8,5.184586048126221,0.062464892146099044,0.33295302360218637,16.20187209167041,3779.858183100774,0.9523809523809523,0.023809523809523808,0.023809523809523808,0.47619047619047616
amazon-plug,android_lan_off,android,lan,off,2021-08-01_22:42:09.38s.pcap,82,19646,16570,239.58536585365854,4131,42,76,2,2,0,76,0,4,4,2,3,74,4,4,37,6,8,24.419775009155273,0.30147870381673175,2.14183616279886,3.357934295842496,804.5119167819718,0.926829268292683,0.024390243902439025,0.024390243902439025,0.45121951219512196
amazon-plug,android_lan_off,android,lan,off,2021-08-01_23:08:21.37s.pcap,48,11134,9358,231.95833333333334,4131,42,44,2,2,0,44,0,2,2,2,2,43,4,4,22,5,6,8.094720125198364,0.17222808777017795,0.7504754889545934,5.929791179633124,1375.4644790424002,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.4583333333333333
amazon-plug,android_lan_off,android,lan,off,2021-08-01_23:34:35.37s.pcap,88,19869,16733,225.7840909090909,4131,42,84,2,2,0,84,0,2,4,4,4,82,4,4,42,6,8,20.524909019470215,0.23591849447666913,1.1527078518287273,4.287473328944941,968.0432678728071,0.9545454545454546,0.022727272727272728,0.022727272727272728,0.4772727272727273
amazon-plug,android_lan_off,android,lan,off,2021-08-02_00:00:57.37s.pcap,51,11296,9418,221.49019607843138,4131,42,47,2,2,0,47,0,2,2,2,2,46,4,4,23,5,6,10.56309700012207,0.21126194000244142,0.8783989607940013,4.828129477501781,1069.383344663924,0.9215686274509803,0.0392156862745098,0.0392156862745098,0.45098039215686275
amazon-plug,android_lan_off,android,lan,off,2021-08-02_00:27:15.37s.pcap,84,19803,16803,235.75,4131,42,80,2,2,0,80,0,2,4,4,4,78,4,4,39,6,8,24.954224109649658,0.3006533025258995,2.142873213136274,3.366163565370789,793.5730605361636,0.9523809523809523,0.023809523809523808,0.023809523809523808,0.4642857142857143
amazon-plug,android_lan_off,android,lan,off,2021-08-02_00:53:30.37s.pcap,81,19304,16550,238.320987654321,4131,54,79,2,2,0,79,0,0,4,4,4,77,4,4,37,6,8,11.687693119049072,0.1460961639881134,0.584131731703808,6.930366769125975,1651.6518532247878,0.9753086419753086,0.024691358024691357,0.024691358024691357,0.4567901234567901
amazon-plug,android_lan_off,android,lan,off,2021-08-02_01:19:43.37s.pcap,83,19521,16555,235.19277108433735,4131,42,79,2,2,0,79,0,2,4,4,4,77,4,4,39,6,8,29.542617082595825,0.3602758180804369,1.8238888163018412,2.8095005858129287,660.7742281404118,0.9518072289156626,0.024096385542168676,0.024096385542168676,0.46987951807228917
amazon-plug,android_lan_off,android,lan,off,2021-08-02_01:45:57.37s.pcap,82,19588,16656,238.8780487804878,4131,42,78,2,2,0,78,0,2,4,4,4,76,4,4,39,6,8,5.063908100128174,0.06251738395219968,0.2508156209343288,16.19302688331261,3868.1586657356997,0.9512195121951219,0.024390243902439025,0.024390243902439025,0.47560975609756095
amazon-plug,android_lan_off,android,lan,off,2021-08-02_02:12:13.37s.pcap,89,19870,16700,223.25842696629215,4131,42,85,2,2,0,85,0,2,6,4,4,82,4,4,42,6,8,30.043838024139404,0.3414072502743114,1.7500127346296832,2.962337898656321,661.3668993966415,0.9550561797752809,0.02247191011235955,0.02247191011235955,0.47191011235955055
